Date,Open,High,Low,Close
11.16.21,263.31,263.31,224.92,230.60
11.17.21,230.64,234.97,221.85,229.50
11.18.21,229.75,232.06,200.69,204.42
11.19.21,204.15,220.95,200.11,218.14
11.20.21,218.12,227.62,213.79,227.08
11.21.21,226.94,230.32,220.06,221.77
11.22.21,221.72,221.83,205.91,209.16
11.23.21,209.31,218.43,205.92,216.39
11.24.21,216.36,217.84,206.52,209.81
11.25.21,212.23,229.65,210.92,215.63
11.26.21,222.91,224.86,190.85,194.87
11.27.21,195.56,200.85,191.20,195.17
11.28.21,195.41,199.87,184.11,199.35
11.29.21,199.59,209.29,195.75,205.87
11.30.21,205.73,218.34,198.15,208.01
12.01.21,207.64,217.51,205.81,208.97
12.02.21,208.90,209.89,200.59,203.49
12.03.21,203.57,207.64,182.54,188.10
12.04.21,188.35,189.43,132.05,163.05
12.05.21,162.96,165.02,149.27,156.41
12.06.21,156.51,164.31,141.77,161.89
12.07.21,161.78,165.46,158.71,162.29
12.08.21,162.04,169.36,156.89,165.22
12.09.21,164.96,166.94,151.80,151.80
12.10.21,151.75,159.71,148.22,148.60
12.11.21,148.74,159.41,146.50,158.04
12.12.21,157.93,162.49,153.61,159.20
12.13.21,159.35,160.09,143.17,144.54
12.14.21,144.62,151.63,143.42,146.08
12.15.21,150.61,154.86,142.10,153.52
12.16.21,153.51,156.62,148.71,148.94
12.17.21,148.98,150.35,142.03,144.34
12.18.21,144.26,150.21,143.17,148.80
12.19.21,148.71,160.16,147.89,153.08
12.20.21,153.26,157.30,145.54,152.63
12.21.21,152.51,156.41,149.45,154.93
12.22.21,155.03,159.98,153.37,155.47
12.23.21,155.54,165.08,153.58,163.45
12.24.21,163.55,166.69,160.67,161.42
12.25.21,161.49,163.70,157.79,157.79
12.26.21,157.77,158.34,153.33,155.99
12.27.21,155.89,161.08,154.73,155.88
12.28.21,155.98,155.98,145.18,145.89
12.29.21,145.94,150.61,144.58,145.51
12.30.21,145.59,149.87,143.24,148.29
12.31.21,148.21,152.25,144.56,146.51
1.1.22,146.54,150.75,146.46,150.70
1.2.22,150.69,152.94,148.66,151.26
1.3.22,151.26,151.26,146.67,148.46
1.4.22,148.47,151.33,146.56,146.81
1.5.22,146.81,149.55,132.10,136.09
1.6.22,136.08,137.75,133.32,136.50
1.7.22,136.49,136.53,128.08,131.49
1.8.22,131.49,134.63,126.75,130.14
1.9.22,130.14,132.48,128.81,131.30
1.10.22,131.30,131.52,122.63,126.83
1.11.22,126.83,133.21,126.29,131.54
1.12.22,131.55,141.74,131.27,141.74
1.13.22,141.74,142.05,135.36,126.64
1.14.22,136.65,146.02,136.36,144.72
1.15.22,144.72,149.92,144.46,147.94
1.16.22,147.93,148.78,144.25,146.53
1.17.22,146.53,153.14,145.17,151.67
1.18.22,151.65,152.90,139.52,141.89
1.19.22,141.89,142.83,133.74,136.92
1.20.22,136.90,142.53,130.36,130.36
1.21.22,130.39,130.82,112.43,114.39
1.22.22,114.42,116.68,99.76,108.43
1.23.22,108.46,112.39,106.60,112.09
1.24.22,112.10,112.19,98.67,109.59
1.25.22,109.59,109.68,106.34,108.07
1.26.22,108.06,115.78,105.85,107.28
1.27.22,107.26,109.47,103.78,106.95
1.28.22,106.93,109.84,105.82,109.43
1.29.22,109.43,111.85,108.31,110.82
1.30.22,110.83,112.04,107.72,108.80
1.31.22,108.80,110.99,105.02,109.59
2.1.22,109.59,116.37,108.66,115.40
2.2.22,115.40,115.88,108.44,108.56
2.3.22,108.53,110.29,106.42,110.29
2.4.22,110.29,120.92,109.00,120.92
2.5.22,120.92,123.39,119.25,121.45
2.6.22,121.92,127.45,121.43,127.45
2.7.22,127.44,139.24,125.56,137.11
2.8.22,137.14,142.35,131.00,133.99
2.9.22,133.96,140.79,132.81,140.17
2.10.22,140.17,143.23,135.09,135.09
2.11.22,135.09,135.09,125.37,126.03
2.12.22,126.01,127.58,122.20,126.68
2.13.22,126.67,128.64,124.22,126.20
